iter	Passed	Remaining
625	1039	621
626	1041	619
627	1042	617
628	1043	615
629	1045	613
630	1046	612
631	1048	610
632	1049	608
633	1051	606
634	1052	604
635	1053	602
636	1055	601
637	1056	599
638	1057	597
639	1058	595
640	1060	594
641	1062	592
642	1063	590
643	1065	588
644	1067	587
645	1068	585
646	1069	583
647	1071	581
648	1072	580
649	1074	578
650	1075	576
651	1077	574
652	1078	573
653	1079	571
654	1082	570
655	1084	568
656	1085	566
657	1089	566
658	1091	564
659	1092	562
660	1093	561
661	1095	559
662	1097	558
663	1100	556
664	1102	555
665	1103	553
666	1104	551
667	1106	549
668	1108	548
669	1109	546
670	1111	544
671	1113	543
672	1114	541
673	1115	539
674	1117	538
675	1119	536
676	1121	535
677	1123	533
678	1125	531
679	1126	530
680	1128	528
681	1129	526
682	1131	525
683	1132	523
684	1134	521
685	1136	520
686	1138	518
687	1140	517
688	1141	515
689	1142	513
690	1144	511
691	1145	509
692	1146	508
693	1148	506
694	1149	504
695	1151	502
696	1152	501
697	1154	499
698	1155	497
699	1159	496
700	1161	495
701	1163	493
702	1164	492
703	1166	490
704	1167	488
705	1168	486
706	1170	484
707	1171	483
708	1172	481
709	1174	479
710	1176	478
711	1177	476
712	1178	474
713	1180	472
714	1181	470
715	1182	469
716	1183	467
717	1185	465
718	1186	463
719	1188	462
720	1190	460
721	1191	458
722	1192	456
723	1193	455
724	1195	453
725	1196	451
726	1197	449
727	1198	447
728	1200	446
729	1201	444
730	1203	442
731	1204	440
732	1205	439
733	1206	437
734	1207	435
735	1209	433
736	1210	431
737	1211	430
738	1213	428
739	1214	426
740	1216	425
741	1217	423
742	1218	421
743	1219	419
744	1221	417
745	1222	416
746	1223	414
747	1224	412
748	1226	410
749	1228	409
750	1229	407
751	1230	405
752	1232	404
753	1233	402
754	1234	400
755	1235	398
756	1237	397
757	1238	395
758	1240	393
759	1242	392
760	1244	390
761	1245	389
762	1247	387
763	1248	385
764	1249	383
765	1251	382
766	1252	380
767	1253	378
768	1255	377
769	1256	375
770	1257	373
771	1259	371
772	1260	370
773	1261	368
774	1263	366
775	1264	365
776	1265	363
777	1267	361
778	1269	360
779	1270	358
780	1271	356
781	1272	354
782	1274	353
783	1275	351
784	1276	349
785	1277	347
786	1279	346
787	1280	344
788	1282	342
789	1283	341
790	1284	339
791	1285	337
792	1287	336
793	1288	334
794	1289	332
795	1291	330
796	1292	329
797	1294	327
798	1295	325
799	1296	324
800	1298	322
801	1299	320
802	1300	319
803	1301	317
804	1303	315
805	1304	313
806	1305	312
807	1307	310
808	1308	308
809	1310	307
810	1311	305
811	1312	303
812	1314	302
813	1315	300
814	1316	298
815	1317	297
816	1319	295
817	1320	293
818	1322	292
819	1323	290
820	1324	288
821	1325	287
822	1327	285
823	1328	283
824	1329	282
825	1330	280
826	1332	278
827	1333	277
828	1335	275
829	1336	273
830	1337	272
831	1338	270
832	1340	268
833	1341	267
834	1342	265
835	1343	263
836	1345	261
837	1346	260
838	1348	258
839	1349	257
840	1350	255
841	1352	253
842	1353	252
843	1355	250
844	1356	248
845	1357	247
846	1358	245
847	1360	243
848	1361	242
849	1363	240
850	1364	238
851	1365	237
852	1367	235
853	1368	233
854	1369	232
855	1370	230
856	1372	228
857	1373	227
858	1374	225
859	1376	224
860	1377	222
861	1378	220
862	1380	219
863	1381	217
864	1382	215
865	1383	214
866	1385	212
867	1386	210
868	1388	209
869	1389	207
870	1391	206
871	1392	204
872	1393	202
873	1394	201
874	1396	199
875	1397	197
876	1399	196
877	1400	194
878	1401	192
879	1403	191
880	1404	189
881	1405	188
882	1406	186
883	1408	184
884	1409	183
885	1410	181
886	1412	179
887	1413	178
888	1415	176
889	1416	175
890	1417	173
891	1418	171
892	1420	170
893	1421	168
894	1422	166
895	1423	165
896	1425	163
897	1427	162
898	1428	160
899	1429	158
900	1431	157
901	1432	155
902	1433	154
903	1435	152
904	1436	150
905	1437	149
906	1440	147
907	1441	146
908	1443	144
909	1444	142
910	1445	141
911	1447	139
912	1448	138
913	1449	136
914	1451	134
915	1453	133
916	1455	131
917	1456	130
918	1457	128
919	1458	126
920	1460	125
921	1461	123
922	1462	122
923	1463	120
924	1465	118
925	1466	117
926	1468	115
927	1469	114
928	1470	112
929	1472	110
930	1473	109
931	1474	107
932	1476	105
933	1477	104
934	1478	102
935	1480	101
936	1481	99
937	1482	98
938	1484	96
939	1485	94
940	1487	93
941	1488	91
942	1489	90
943	1491	88
944	1492	86
945	1494	85
946	1495	83
947	1496	82
948	1497	80
949	1499	78
950	1500	77
951	1502	75
952	1503	74
953	1504	72
954	1506	70
955	1507	69
956	1509	67
957	1510	66
958	1512	64
959	1513	63
960	1514	61
961	1516	59
962	1517	58
963	1518	56
964	1521	55
965	1522	53
966	1523	51
967	1525	50
968	1526	48
969	1527	47
970	1528	45
971	1530	44
972	1531	42
973	1534	40
974	1535	39
975	1536	37
976	1538	36
977	1539	34
978	1540	33
979	1541	31
980	1543	29
981	1544	28
982	1545	26
983	1547	25
984	1549	23
985	1550	22
986	1551	20
987	1553	18
988	1554	17
989	1555	15
990	1556	14
991	1558	12
992	1559	10
993	1561	9
994	1562	7
995	1564	6
996	1565	4
997	1567	3
998	1568	1
999	1570	0
